listing_id,snapshot_date,operation_type,category,sub_category,description,rooms,area_m2,floor,total_floors,is_new_building,renovation,building_material,price_usd,price_uzs,currency,region,city,district,address,latitude,longitude,views,clicks,favorites,is_vip,is_premium,is_urgently,seller_id,photos_count,main_photo,posted_at,bumped_at,expires_at,url,scraped_at
1317429,2026-07-21,sale,Квартира,,"ЦЕНА СНИЖЕНА 
Продаётся 3 комнатная студия квартира 57 м²  
с ремонтом и мебелью в ЖК Modera Towers (10 этаж)
Продам стильную, полностью готовую к проживанию 3 комнатный студия квартиру в премиум-комплексе Modera Towers (ул. Шота Руставели, Яккасарайский район).
Основные характеристики:
•  Площадь: 57 м²
•  Этаж: 10/25
•  Балкон: открытый
•  Квартира угловая — окна и вид на две стороны (Мирабад Авеню и Перамид  
Ремонт и отделка премиум-класса:
•  Качественный современный ремонт «под ключ»
•  Пол — таркет ёлочка, уложенная по диагонали
•  Мебель из крашеного МДФ + шпон в ТВ-зоне
•  Встроенная подсветка, стильные ниши
•  Сантехника Emrech (встроенная)
•  Вся техника Hoffmann
•  Два кондиционера Midea (18 + 12) — в спальне и гостиной
Квартира полностью обставлена — заезжай и живи! Мебель и техника остаются.
Инфраструктура комплекса:
•  Двор-сад на 6 этаже
•  Фитнес-зал
•  Бассейн (идёт финальный ремонт)
•  Подземный паркинг, охрана 24/7, консьерж
•  Отличная транспортная.",3,57.0,10,25,false,evro,kirpich,199000.0,2394218750.0,USD,Ташкентская область,Ташкент,Яккасарайский район,Modera Towers turar-joy majmuasi,41.292339,69.263664,91,0,0,false,false,false,62256,10,https://api.uybor.uz/api/v1/media/n/17836267617393541.jpg,2026-07-09T19:53:05.928Z,2026-07-09T19:53:05.926Z,2026-08-23T19:53:05.926Z,https://uybor.uz/listings/1317429,2026-07-21 05:06:32
1317437,2026-07-21,sale,Для бизнеса,Офис,"ПРОДАЕТСЯ НЕДВИЖИМОСТЬ ПОД БИЗНЕС ИЛИ ИНВЕСТИЦИЮ
Продается просторный объект с большим двором, который отлично подойдет для различных видов бизнеса:
Гостиница (хостел)
Частная клиника
Учебный центр
Детский сад
Офис или IT-компания
Производство или склад
Торговый объект
Преимущества:
Выгодное расположение рядом с Республиканской больницей.
Большая огороженная территория.
Удобный заезд и просторный двор.
Новая качественная плитка по всему двору.
Современный фасад.
Отдельные помещения.
Есть дополнительное здание и подвальные помещения.
Все необходимые коммуникации.
Хороший подъезд с асфальтированной дороги. 
Если вас интересует это объявление звоните по этому номеру:
+",,150.0,2,2,false,sredniy,kirpich,250000.0,3007812500.0,USD,Самаркандская область,Самарканд,,Самарканд,39.675912,66.959721,168,3,1,false,false,false,281670,3,https://api.uybor.uz/api/v1/media/n/17836311702076170.jpeg,2026-07-09T21:06:13.158Z,2026-07-10T11:51:16.173Z,2026-08-23T21:06:13.157Z,https://uybor.uz/listings/1317437,2026-07-21 05:06:32
1317441,2026-07-21,sale,Дом,Частный дом,Уртачирчикский район Халкобод МФЙ.Уй 3 хона ошхона . тел.,3,85.0,,1,false,custom,blok,29500.0,354921875.0,USD,Ташкентская область,,,махаллинский сход граждан Халкобод,41.080961,69.233572,68,0,0,false,false,false,283124,5,https://api.uybor.uz/api/v1/media/n/17836499070514363.jpeg,2026-07-10T02:18:34.471Z,2026-07-10T02:18:34.469Z,2026-08-24T02:18:34.469Z,https://uybor.uz/listings/1317441,2026-07-21 05:06:32
1317442,2026-07-21,sale,Дом,Частный дом,"4сотих ер 5хона каропка Индекс бозорига 1км да жойлашган метро мактаб богча магазин енида тел ",5,150.0,,1,false,chernovaya,kirpich,100000.0,1203125000.0,USD,Ташкентская область,Ташкент,Янгихаётский район,"улица Бирлик, 37",41.178455,69.221016,87,0,1,false,false,false,284167,3,https://api.uybor.uz/api/v1/media/n/17836562630433470.jpg,2026-07-10T04:04:45.328Z,2026-07-10T04:04:45.327Z,2026-08-24T04:04:45.327Z,https://uybor.uz/listings/1317442,2026-07-21 05:06:32
1317443,2026-07-21,sale,Квартира,,"Квартира новостройка 3 этаж 65 кв ит парк район ялангач  мирзо улугбек 
Детская площадка 
Парковка
Лифт
Я не риелтор своя квартира
It park",3,63.0,3,7,true,chernovaya,kirpich,79000.0,950468750.0,USD,Ташкентская область,Ташкент,Чиланзарский район,метро Мирзо Улугбек,41.282024,69.212585,184,3,0,false,false,false,282827,3,https://api.uybor.uz/api/v1/media/n/17836594170731350.jpg,2026-07-10T04:57:16.679Z,2026-07-10T04:57:16.678Z,2026-08-24T04:57:16.678Z,https://uybor.uz/listings/1317443,2026-07-21 05:06:32
1317444,2026-07-21,sale,Квартира,,"Срочная продажа!3- квартира в Сергели Цена ниже рынка.Такие квартиры долго не стоят.Если ты это читаешь - у тебя есть шанс забрать ее первым.Чистая, светлая, с хорошей энергетикой - квартира в которую приятно зайти. Без лишних вложений - заехал и живёшь с первого дня. Покажу в любое время.Shoshilinch sotiladi! Sergelida 3 xonali kvartira. Bozor narxidan past. Bunday kvartiralar uzoq vaqt turmaydi. Agar siz buni o'qiyotgan bo'lsangiz, uni birinchi bo'lib qo'lga kiritish imkoniyatiga egasiz. Toza, yorug' va energiyaga to'la, kirish yoqimli. Qo'shimcha investitsiya talab qilinmaydi - shunchaki ko'chib kiring va birinchi kundan boshlab yashang. Sizga istalgan vaqtda ko'rsataman. Телцена 79800 келишамиз",3,86.0,2,3,true,evro,kirpich,79800.0,960093750.0,USD,Ташкентская область,Ташкент,Сергелийский район,Сергели,41.22084,69.208725,186,0,0,false,false,false,286114,10,https://api.uybor.uz/api/v1/media/n/17836605375416872.jpeg,2026-07-10T05:18:28.465Z,2026-07-10T05:18:28.463Z,2026-08-24T05:18:28.463Z,https://uybor.uz/listings/1317444,2026-07-21 05:06:32
1317445,2026-07-21,sale,Земельный участок,Жилой,"Площадь: 13 соток
Документы кадастр есть, готовы к продаже
Нежилое назначение (непроизводственная/коммерческая земля), фасад с 3-х сторон, общая длина фасада — 100 метров
Участок расположен в средней части улицы
Свет и вода есть, махалля (район) тихая и спокойная
Есть удобный заезд для грузовых автомобилей 
Подходит под строительство 4–5 домов в ряд, цеха или склада
Дорога в махалле асфальтирована

Ориентир: 2 км от поста ГАИ Рохат, 700 метров вглубь от автомагистрали

",,,,,false,,,149500.0,1798671875.0,USD,Ташкентская область,Ташкент,Новый Ташкентский район,махаллинский сход граждан Ёшлик,41.228073,69.381447,41,0,0,false,false,false,286116,3,https://api.uybor.uz/api/v1/media/n/17836613370442339.jpg,2026-07-10T05:31:46.209Z,2026-07-10T05:31:46.208Z,2026-08-24T05:31:46.208Z,https://uybor.uz/listings/1317445,2026-07-21 05:06:32
1317447,2026-07-21,sale,Квартира,,"Расположение Согдиана ориентир медколледж, все магазины, аптеки, пекарня, больница, клиника, остановка, школа в шаговой доступности. Имеется отопление, хорошие соседи, спокойный подъезд. Все счетчики установлены, долгов нет, установлено отопление запустят в этом году. ",3,62.0,5,5,false,sredniy,panel,55000.0,661718750.0,USD,Самаркандская область,Самарканд,,микрорайон Согдиана-А,39.659306,66.913605,62,0,0,false,false,false,286119,3,https://api.uybor.uz/api/v1/media/n/17836660160208629.jpg,2026-07-10T06:47:17.284Z,2026-07-10T06:47:17.283Z,2026-08-24T06:47:17.283Z,https://uybor.uz/listings/1317447,2026-07-21 05:06:32
1317448,2026-07-21,sale,Квартира,,"Продается 2-комнатная квартира,2/3/4-145 000 у.е на м.Ойбек. Ориентир: кафе LES AILES. Состояние: евроремонт,мебель,техника. Площадь 65 м².Кирпичный дом.",2,65.0,3,4,false,evro,kirpich,145000.0,1744531250.0,USD,Ташкентская область,Ташкент,Мирабадский район,Айбека,41.298153,69.273926,138,0,0,false,false,false,43671,8,https://api.uybor.uz/api/v1/media/n/17836663068277306.jpg,2026-07-10T06:51:50.380Z,2026-07-10T06:51:50.378Z,2026-08-24T06:51:50.378Z,https://uybor.uz/listings/1317448,2026-07-21 05:06:32
1317449,2026-07-21,sale,Для бизнеса,Офис," Продается коммерческое помещение, 1-этаж -450 000 у.е  на ул.Шахрисабз.Ориентир: м.Ойбек.Площадь по кадастру 120 м².Балконы 40 м².Состояние: евроремонт.2-линия,прямой подъезд с большой дороги.Парковка на 3-4 авто.Под любой вид бизнеса.",,120.0,1,4,false,evro,kirpich,450000.0,5414062500.0,USD,Ташкентская область,Ташкент,Мирабадский район,Айбека,41.298153,69.273926,52,0,0,false,false,false,43671,5,https://api.uybor.uz/api/v1/media/n/17836663662264951.jpg,2026-07-10T06:52:49.405Z,2026-07-10T06:52:49.404Z,2026-08-24T06:52:49.404Z,https://uybor.uz/listings/1317449,2026-07-21 05:06:32
